Date,Cateogry,Sub-Category,Title,Question
Jan 01 2021 12:29 PM,Writing,Capstone,For Assessment 2: you are required to write an essay of 1500 words on the following topic....,For Assessment 2: you are required to write an essay of 1500 words on the following topic. “Discuss the significance of recovery principles in the provision of care for individuals with mental health problems”.
Jan 02 2021 07:33 PM,Writing,Capstone,"Write a paper (750-1,000 words) in which you present a clearly...","MUST BE ASSIGNED TO M. JOHAR  Write a paper (750-1,000 words) in which you present a clearly articulated argument for whether a qualitative or quantitative research methodology is the best approach to answer the potential dissertation research questions and address the problem statement you drafted in a previous course. Include the following in your paper:     	 A literature-supported discussion identifying the critical attributes of the selected methodology (qualitative or quantitative).  	 A literature-supported rationale that clearly articulates why the critical attributes of the selected methodology are a best or appropriate fit for the stated problem and research questions. Cite specific examples where a similar methodology was used to answer similar research questions or to address a similar problem statement.  	 A literature-supported rationale that clearly articulates why the opposing methodology (qualitative or quantitative) is not appropriate for the study.  	 A concluding statement that clearly affirms the methodological choice (qualitative of quantitative)."
Jan 11 2021 08:49 AM,Writing,Capstone,THIS IS A REDO ASSIGNMENT THAT MUST BE ASSIGNED TO M.JOHAR Part 1 Present a revised version...,"THIS IS A REDO ASSIGNMENT THAT MUST BE ASSIGNED TO M.JOHAR    Part 1    Present a revised version (1,750-2,050 words total) of the paper “Predictive Patterns of Behavior” that makes improvements in the caliber of the writing and incorporates instructor feedback regarding content and writing. Include the following in your submission:    A reflection (250-300 words) that provides a bulleted list of the changes you made to the paper and discusses your revision process including how you incorporated your instructor's feedback into the revised version. Similar to an abstract, this section will receive its own page following the title page and preceding the introduction to the paper.    The revised paper that incorporates instructor feedback; clarifies the thesis statement and solidifies supporting arguments; edits for grammar, spelling, and punctuation; adjusts word choice to display professional and scholarly language; and adjusts sentence structure for improved readability.    Part 2       Write an additional 1,500-1,750 words that discusses the interactions that influence cognitive comprehension. This section should flow naturally from the revised paper. So, you may also need to revise your introduction and thesis statement to allow the ideas to connect. Address the following in the paper:       Describe the interactions that influence cognitive comprehension. Consider the connection of predictive patterns of behavior and social cognitive theory to cognitive comprehension.    Explain how these interactions work well together.    Describe what happens when these interactions conflict with one another. 
         
            
             
                 
                     Attachments:  
                 
                 Predictive-Pa....docx Rubric-Print-....xlsx"
Jan 17 2021 08:11 AM,Writing,Capstone,Clive’s myocardial infarction caused the death of areas of his cardiac tissue. Which of the...,Clive’s myocardial infarction caused the death of areas of his cardiac tissue. Which of the following is the mechanism of cell injury?a) injury from biological agentsb) hypoxiac) necrosisd) ischaemia There are two short questions answer also This can solve only health experts
Mar 05 2021 03:26 PM,Writing,Capstone,RELATED TO INFECTION PREVENTION AND CONTROL ROLE. REGARDING HAND HYGIENE....,RELATED TO INFECTION PREVENTION AND CONTROL ROLE. REGARDING HAND HYGIENE. I WANT TO KNOW THE PRICE FIRSTTHEN I WILL MAKE DECISION.
Jan 31 2021 08:06 AM,Writing,Capstone,"Consider this C Program , C++ Program , Java Program or C# Program . It reads integers from the...","Consider this C Program, C++ Program, Java Program or C# Program. It reads integers from the standard input (until it gets a negative number) and puts them into an array. After that it calls  processArray  on the array, and then prints the value that is returned to standard output.         Currently  processArray  does nothing and simply returns 0. You have to modify it so that it finds the highest odd number in the array and prints that to the standard output. It should return 0 if the array has no odd numbers.    For example, if these numbers were provided on the standard input:     2 5 3 8 -1        </rs_bp_sub_read-example-carefully>       When your program is run, it should output 5 (and nothing else).  </pstyle=""margin-bottom:>"
Mar 03 2021 02:45 PM,Writing,Capstone,Write a program to store the ages of six of your friends in a single array....,Write a program to store the ages of six of your friends in a single array. Store each of the six ages using the assignment operator.
Jan 19 2021 09:52 PM,Writing,Capstone,Assignment Details for Unit 3 - Individual Project...,"I have an assignment to do by Sunday, December 20,2020 at 5:00 p.m. cst. I have already done paper Unit 3 - Individual Project  View  Assignment Details for Unit 3 - Individual Project as PDF Assignment Overview Type:  Individual Project Unit:  Effective Design Due Date:  Tue,12/22/20 Grading Type:  Numeric Points Possible:  100 Points Earned:  Points Earned not available Deliverable Length:  5-7 pages View objectives for this assignment Go To:     	 Assignment Details  	 Learning Materials  	 Reading Assignment     My Work: 
         
            
             
                 
                     Attachments:  
                 
                 Unit-3---Desi....docx Unit-3--Effec....docx"
Mar 18 2021 11:59 AM,Writing,Capstone,A fellow college student in your dormitory is newly diagnosed with ulcerative colitis. Because...,"A fellow college student in your dormitory is newly diagnosed with ulcerative colitis. Because you are a nursing student, she asks you to help her investigate this diagnosis. How would you look up this information? How would you find the “evidence” for best practices in care? What databases and search terms would you use? What kind of research evidence is stronger than others?"
Jan 03 2021 10:18 AM,Writing,Capstone,"Healthcare has major resource implications in terms of human, tim...","Healthcare has major resource implications in terms of human, time and financial resources, and is increasingly influenced by environmental and overall sustainability concerns. Healthcare systems, priorities and politics vary globally, impacting on the management of preventative and interventional healthcare. In this essay, you will examine local and global health issues and the healthcare systems and resources in place to manage those issues. This includes consideration of the political, sustainability and financial influences on the design, development and delivery of those health care systems and programs. Finally, you will consider the potential impact of the chosen health issue on Australia’s healthcare system, and identify an innovative initiative that contributes to reducing or avoiding this issue.
         
            
             
                 
                     Attachments:  
                 
                 ahs205-assess....pdf"
Mar 06 2021 01:35 PM,Writing,Resume Services,What are the dangers of failing to use a citator when performing legal research? 1. How is a citator,"What are the dangers of failing to use a citator when
performing legal research?  

 1. How is a citator helpful in performing legal research?
 

 2. What are the advantages of using an online citator
over a print citator?  

 3. How soon will print citators disappear?  

 4. How do Shepard’s Citators differ from KeyCite?"
Mar 06 2021 01:35 PM,Writing,Resume Services,Review one of your state statutes in an annotated code. What information follows the text of the...,"Review one of your state statutes in an annotated code.
What information follows the text of the statute? How would that information be
helpful if researching the statute?  

 1. How has a court rule had a major impact on a case in
the news?  

 2. What is an administrative rule that has affected you
lately?"
Apr 10 2021 07:00 AM,Writing,Capstone,Suppose a linear equation is to be fit predicting raw material price as a linear function of the...,"Suppose a linear equation is to be fit predicting raw material price as a linear function of the quantity of product A and produce B (made of the same raw material) sold given the following data:     	  		  			  			 Quantity of product A sold  			  			  			 Quantity of product B sold  			  			  			 Price of raw material  			  		  		  			  			 9  			  			  			 1  			  			  			 5  			  		  		  			  			 13  			  			  			 8  			  			  			 2  			  		  		  			  			 17  			  			  			 3  			  			  			 9  			  		  		  			  			 8  			  			  			 5  			  			  			 10  			  		  		  			  			 10  			  			  			 9  			  			  			 4  			  		  		  			  			 15  			  			  			 2  			  			  			 6  			  		  	      Assume the prediction equation is  y i  =  c 0  c 1 x 1 i   c 2 x 2 i  , where  c 1,  c 2 are the prediction parameters on the quantity of products A and B sold, respectively, and  c 0 is the intercept. Define  x 1 i  ,  x 2 i  as the observations on the quantity of products A and B sold, respectively, and  y i  as the observed price. i identifies the  ith observation.    1) Suppose the desired criterion for equation fit is that the fitted data exhibit minimum of the sum of the absolute deviations between the raw material price and its prediction.    Please develop a LP model to minimize the sum of the absolute deviations solve the formed LP problem using the MATLAB function-linprog.    1) Suppose the desired criterion for equation fit is that the fitted data exhibit minimum of the largest absolute deviation between the raw material price and its prediction.    Please develop a LP model to minimise the largest absolute deviation and write down the tabular form of the formed LP problem.       2) Suppose the desired criteria for equation fit is that the fitted data exhibit minimum sum of the squared deviations between the raw material price and its prediction. You are then asked to solve the formed least square (LS) problem.    - Write down the linear system equation (Ax=B) of the LS problem, and solve it using the normal equations approach.    3) Assume we have two additional groups of datasets similar to Table 1, and for each dataset, we have found out their predictions"
Mar 06 2021 01:35 PM,Writing,Resume Services,Think of a legal problem that you have encountered lately. What specific steps would you take to...,"Think of a legal problem that you have encountered
lately. What specific steps would you take to research the problem?  

 1. Which of the three approaches seems to be more
beneficial and why?  

 2. Which of the three approaches to identifying key terms
would you attempt first and why?"
Mar 06 2021 01:35 PM,Writing,Resume Services,Is it fair to suspend an attorney for poor writing skills? 1. What types of legal documents have you,"Is it fair to suspend an attorney for poor writing
skills?  

 1. What types of legal documents have you read? What are
the purposes of those documents?  

 2. Which documents will you be writing as class
assignments? Why do you think your professor has assigned those documents?"
Mar 06 2021 01:35 PM,Writing,Resume Services,How has technology changed the way legal research is conducted? 1. How would you respond to a...,"How has technology changed the way legal research is conducted?
 

 1. How would you respond to a supervising attorney who
wants to cancel the firm’s online subscriptions to Lexis and Westlaw now that
“everything is free on the Internet”?  

 2. When is online computer-assisted legal research
recommended over using print materials? Discuss specific examples of legal
information that can be located more cost-efficiently using free Internet
resources.  

 3. What are the advantages of using Westlaw KeyCite or
Shepard’s online over a print citator?"
Mar 06 2021 01:35 PM,Writing,Resume Services,What do you do before you write? 1. How can you improve your prewriting step? 2. Take a document you,"What do you do before you write?  

 1. How can you improve your prewriting step?  

 2. Take a document you have written and analyze it: 

 a. How is the overall organization?  

 b. Do you use topic sentences?  

 c. Is the word order within sentences logical?  

 d. Can you use more transitional language and signposts?  

 e. Do you paragraph about the right amount, too often, or
too infrequently?  

 f. Can you make more use of tabulation?  

 g. Are you prone to any of the eight mechanical errors
discussed in the chapter?"
Mar 06 2021 01:35 PM,Writing,Resume Services,What are important style tips to remember when writing a transmittal letter? 1. What does the...,"What are important style tips to remember when writing a
transmittal letter?  

 1. What does the heading of a client opinion letter
contain?  

 2. What does the opening of a client opinion letter
contain?"
Mar 06 2021 01:35 PM,Writing,Resume Services,Why is good legal writing important to the legal profession? 1. How does legal writing resemble or..,"Why is good legal writing important to the legal
profession?  

 1. How does legal writing resemble or differ from writing
you have done in the past?  

 2. Who are the audiences for the different types of legal
writing referred to in the chapter?  

 3. Is it always a good idea for legal writing to
communicate as much as possible?  

 4. Where could you look in this book to find out how to
eliminate mechanical errors from legal writing? 5. Name types of legal writing
not covered in depth in this book.  

 6. What is the purpose of these types of legal writing?"
Mar 06 2021 01:35 PM,Writing,Resume Services,Locate a transmittal letter you have received. Does it follow the style tips in this chapter? 1....,"Locate a transmittal letter you have received. Does it
follow the style tips in this chapter?  

 1. What are your reactions to the first client opinion
letter?  

 2. What are your reactions to the second client opinion
letter?"
Mar 06 2021 01:35 PM,Writing,Resume Services,How can organization help your reader understand what you have written? 1. What are some examples of,"How can organization help your reader understand what you
have written?  

 1. What are some examples of transitional language?  

 2. What are some examples of signposts?  

 3. What is tabulation, and how can it be incorporated
into a document?  

 4. What is the reason for giving a page reference to
authority used in your document?  

 6. What is plagiarism, and how can you avoid it?"
Mar 22 2021 11:55 AM,Writing,Capstone,You are preparing to give a research presentation about the effectiveness of Toyota's advertising...,You are preparing to give a research presentation about the effectiveness of Toyota's advertising to restore public confidence in the wake of their delays in solving the accelerator pedal malfunction and antilock problems for high-tech hybrid vehicles. Which of the patterns of organization would be appropriate for your purpose? Why?
Mar 22 2021 11:08 AM,Writing,Capstone,"What do Sting, Elton John, and Madonna have in common? Besides being international rock stars,...","What do Sting, Elton John, and Madonna have in common? Besides being international rock stars, theyall use theatrical backdrops designed and manufactured by custom drapery maker Sew What? Inc.Based in Rancho Dominguez, California, Sew What? provides custom theatrical draperies and fabrics forstages, concerts, fashion shows, and special events worldwide and has become an industry leader inrock-and-roll staging.Founded in 1992 by Australian-born Megan Duckett, Sew What? has grown from a tiny kitchen-and-garage operation to a multimillion-dollar enterprise, thanks to Duckett’s never-say-no approach tocustomer satisfaction. “When I see a problem, I just don’t back down. I find a way to overcome it and Iuse everybody I know to help me,” she says.What made it possible for a one-woman business that started in a kitchen to evolve and grow into amultimillion dollar company with 35 employees? Megan Duckett attributes her success to hard work,quality workmanship, and especially information technology.Sew What? has enjoyed explosive growth in recent years, reaching $4 million per year in sales by theend of 2006. Company president Duckett credits much of her firm’s rapid growth to its ability toleverage information technology and the Internet to drive sales. “Before we put up our Web site,sewwhatinc.com, our business was almost all local,” says Duckett. “But after launching the Web sitethree years ago, we now have clients all over the world. In fact, last year our revenue grew 45% on theprevious year’s sales, and this year we are on target to enjoy a 65% increase on 2005 sales. And nearlyall that growth came from Web-driven sales.” Although the company’s Web site may take center stage, managing all the business the site brings inrequires a lot of effort behind the scenes. In particular, Duckett relies on a solid IT infrastructure to helpkeep the company running smoothly. “We are a customer-centric company,” notes Duckett. “It’s criticalthat we have excellent back-office information technology to manage the business and deliveroutstanding service to our customers.”Sew What? runs most of its business with Intuit’s QuickBooks Enterprise Solutions Manufacturing andWholesale Edition software and Microsoft’s Windows Server operating system installed on a DellPowerEdge 860 server, sporting an Intel Xeon processor and 146 gigabytes of disk storage. According toDuckett, “Running our business requires a lot of storage. In addition to customer information and vitaloperational and financial QuickBooks files, we need to store thousands of drapery and fabric image files,customer instruction document files, and other types of data.” Sew What?’s additional computersupport includes an older Dell PowerEdge 500 server dedicated to a few smaller applications and avariety of Dell desktop PC systems for employees. Sew What? started in 1992 as a part-time endeavor, with Duckett cutting and sewing fabric on herkitchen table. She went full time in 1997 and incorporated in 1998. The important role technology playsin running a successful small business hit home when she lost a big contract. The potential client saidthat without a Web site, her company “lacked credibility.” “Before losing that contract, I thought, ‘I runa sewing business, a cottage craft. I don’t need a Web site,” she says. Duckett admits she was rathercocky, mainly because she had grown her business “quite well” by word of mouth alone. “I quicklylearned the error of that thought process. You can’t have that attitude and stick around,” sheacknowledges.Losing the contract also coincided with a period of low growth between 2001 and 2002. That’s whenDuckett decided to embrace technology. Using Microsoft Publisher, she designed and built her own Website. “You figure things out and learn how to do it yourself when budgets are thin,” she admits.Duckett kept working to improve the site and make it better for her customers. A year later, feeling thatthe site needed refreshing, she signed up for a 10-week course in Dreamweaver and again completelyrebuilt the site. Yet another Web site reconstruction helped Sew What? grow into a company withcustomers around the world and a clientele list that includes international rock stars, Gucci, and RollingStone magazine.In 2005, Duckett decided she needed to improve the site’s navigation because “I wanted it to be sleekand to provide a really good customer experience. That was beyond my abilities, so we hired a Webmarketing consulting company to build a custom navigation system for the site.” She worked with thehired guns on branding, search engine optimization, overall design, and site layout. Duckett still providesall the content, including text and images. There’s also a Spanish version of the site, and theprofessionals tuned up the main site’s search features to include spelling variants for different English-speaking countries. For example, you can search for the American spelling of theater or the British andAustralian version, theatre.The site also lets potential customers review all kinds of color swatches and teaches them how tocalculate accurate measurements for their projects; the differences between a scrim, a tormentor, and atraveler curtain; the proper care and feeding of a variety of drapery materials; and a lot more.While perusing the Dell Web site one day, Duckett saw a news article about the Dell/NFIB Small BusinessExcellence Award. The National Federation of Independent Businesses (NFIB) and Dell Inc. present thisannual prize to one small business in recognition of its innovative use of technology to improve itscustomers’ experience. The winner receives $30,000 worth of Dell products and services, a lifetimemembership to the NFIB, and a day at Dell’s headquarters with Michael Dell and other senior executives.“The description of the kinds of businesses they were looking for perfectly described Sew What?”Duckett realized. “Everything they were looking for, we’d done, so I decided to enter. My husband [andbusiness partner] laughed and reminded me that I never win anything.” Writing the essay for thecontest caused Duckett to reflect on everything she and her employees had achieved over the years:“We got to sit back and feel really proud of ourselves. Just that process was enough to invigorateeveryone in our weekly production meetings.” The contest judges also recognized Megan Duckett’s passionate commitment to customer satisfactionand use of information technology for business success, so they awarded Sew What? the Small BusinessExcellence Award. Winning the award proved to be a very emotional experience. Looking at the caliberand achievements of the nine other finalists, Duckett figured Sew What? would remain just a top-10finalist: “I could not believe that a big company like Dell—so entrepreneurial and advanced in everyway—would look at our little company and recognize it.”Like other small business owners, Duckett puts an enormous amount of physical and emotional energyinto her work. “Winning this award is so flattering on a personal level,” she says. “This business isingrained in every cell of my body, and to have someone saying, ‘Good job,’ well, in small business,nobody ever says that to you.”That may have been true previously, but Sew What?’s technology leadership and business successcontinue to earn recognition. In March 2007, the company received a Stevie Award for Women inBusiness for “most innovative company of the year” among those with up to 100 employees. A fewmonths earlier, Sew What? had received an SMB 20 Award from PC Magazine, which honors 20 of themost technologically innovative small- and medium-sized businesses (SMBs) each year. “Small andmedium businesses drive today’s economy. However, they often don’t get the attention and recognitionthey deserve,” said PC Magazine’s Editor-in-Chief, Jim Louderback. “We want to highlight the hard work,technological leadership, and innovative spirit of thousands of SMB companies throughout the world.”Duckett plans to use her prize winnings to add a bar code system that can track the manufacturingprocess at the company’s warehouse. In the drapery business, fabric is stored on a roll in the warehouseand then moves through different stages: receiving, cutting, sewing, shipping, and so forth. The scanningprocess will enable Duckett’s team to track how long the fabric stays in any given stage. These data willgive them a better idea of their costs, which will then help them produce more accurate price lists.“We don’t need to charge an hour and a half for labor if the cutting only takes an hour and 15 minutes,”Duckett notes. Currently, the company uses a handwritten system of sign-in and sign-out sheets that,she says, takes too long and introduces too many errors. “The new system will also let us track theprogress of individual orders,” she promises. “We’ll be able to provide better service by keeping thecustomer updated. Based on the class lectures and the case answer the following questions:1) “If a building is an information system, the IT Infrastructure is its foundation”- elucidate the statement showing the components of an information system.2) How do information technologies contribute to the business success of Sew What? Inc.?"
Mar 06 2021 01:35 PM,Writing,Resume Services,Which footnotes in the first sample memorandum of law seem to be the most helpful and why? 1. How...,"Which footnotes in the first sample memorandum of law
seem to be the most helpful and why?  

 1. How does the second sample memorandum of law differ
from the first?  

 2. What changes would you make to either of the sample
memoranda of law to make them better?"
Mar 06 2021 01:35 PM,Writing,Resume Services,Locate an appellate brief and compare it in substance and format to the two sample appellate briefs.,"Locate an appellate brief and compare it in substance and
format to the two sample appellate briefs in this chapter. How do the documents
differ?  

 1. What is the purpose of the table of contents and the
table of authorities?  

 2. Why do court rules govern appellate briefs in detail?"
Apr 05 2021 05:39 PM,Writing,Resume Services,Office equipment You work as an administrative assistant for a small company with 20 office...,"Office equipment  You work as an administrative assistant for a small company with 20 office employees. The office has one low-volume copier that is old and breaks down often. Your supervisor, Mae Chang, has asked you to research and recommend a new copier or all-in-one printer to be purchased. It should print color as well as black-and-white copies and should have basic features such as reduction/enlargement, duplexing, and automatic document feeding. The machine should print at least 20 pages per minute and handle a volume of at least 25,000 pages per month. Write a memo to your supervisor with your recommendations. Include all relevant details about the machine, its cost, and a source from which the company can purchase it.
         
            
             
                 
                     Attachments:  
                 
                 MEMO-FORMAT.pdf"
Mar 06 2021 01:35 PM,Writing,Resume Services,Which footnotes in the first sample office memo seem to be the most helpful and why? 1. How does the,"Which footnotes in the first sample office memo seem to
be the most helpful and why?  

 1. How does the second sample office memo differ from the
first?  

 2. What changes would you make to either of the sample
office memos to make them better?"
